STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202109,1,30,대전광역시,1205420,4,11190,2018954826,1900507452,1595625588,304881865,118447374,14961980
202109,1,31,울산광역시,886904,4,11475,1388788785,1289807637,1081125656,208681981,98981147,8533754
202109,1,36,세종특별자치시,260031,5,15263,528686437,503815720,430387150,73428570,24870718,4900687
202109,1,41,경기도,10648798,4,12307,18588165363,17450833940,14558096721,2892737218,1137331423,183141693
202109,1,42,강원도,1142527,3,9617,1720260177,1607976562,1333716805,274259757,112283616,9222680
202109,1,43,충청북도,1244067,3,9381,1841574176,1728769872,1457645972,271123900,112804304,10358080
202109,1,44,충청남도,1637377,3,9177,2433416538,2291612905,1929973980,361638925,141803633,14420975
202109,1,45,전라북도,1339991,4,9262,1965914310,1849213244,1548098480,301114764,116701066,9678220
202109,1,46,전라남도,1313718,3,8382,1813817599,1701634566,1421038125,280596442,112183033,7720018
202109,1,47,경상북도,1952752,3,8746,2603333633,2433263290,2039009063,394254226,170070344,14297524
202109,1,48,경상남도,2528983,4,10112,3738117245,3471119692,2865508032,605611660,266997553,21747555
202109,1,50,제주특별자치도,510183,4,9581,839703846,784004316,645533419,138470897,55699530,6093732
202110,1,11,서울특별시,8095396,4,12721,14784392661,13904330994,11530712932,2373618061,880061667,230289902
202110,1,26,부산광역시,2649017,4,11798,4245235751,3919188696,3135463835,783724860,326047055,34413825
202110,1,27,대구광역시,1954537,4,11191,3020803611,2816624198,2289613632,527010566,204179413,21358408
202110,1,28,인천광역시,2340662,4,11217,3779702388,3511891311,2837567251,674324060,267811077,33637231
202110,1,29,광주광역시,1159092,4,11246,2024516104,1901482774,1574494294,326988480,123033330,10561489
202110,1,30,대전광역시,1209783,4,11242,2051245539,1929640302,1602711454,326928847,121605237,15041566
202110,1,31,울산광역시,884414,4,11529,1439255753,1336921660,1108747195,228174464,102334094,8761019
202110,1,36,세종특별자치시,263713,5,15290,548190950,522281944,441903031,80378913,25909006,4998748
202110,1,41,경기도,10701009,4,12392,19133024771,17967339383,14848435292,3118904091,1165685388,189020001
202110,1,42,강원도,1148697,3,9673,1774358977,1657830311,1356992154,300838157,116528666,9662782
202110,1,43,충청북도,1254856,3,9403,1908179424,1790996711,1489611586,301385126,117182712,10740534
202110,1,44,충청남도,1650689,3,9207,2520045714,2372123662,1970697641,401426021,147922052,14250422
202110,1,45,전라북도,1346882,4,9295,2044455007,1922698969,1589274741,333424228,121756038,9836874
202110,1,46,전라남도,1320541,3,8423,1880598797,1763210831,1453908765,309302066,117387966,7844456
202110,1,47,경상북도,1966956,3,8775,2692530215,2513883196,2075794656,438088541,178647019,13953493
202110,1,48,경상남도,2516585,4,10149,3823204776,3546704305,2887614522,659089783,276500471,21805261
202110,1,50,제주특별자치도,514554,4,9611,882490278,825588304,675252759,150335545,56901974,6112767
