tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2021-06-04,9872324,142157,132699,7490,1968,129822,9600345,9911324,142852,133289,7594,1969,133844,9634628,39000,695,590,104,1,4022,34283
2021-06-05,9911324,142852,133289,7594,1969,133844,9634628,9945954,143596,133763,7862,1971,137164,9665194,34630,744,474,268,2,3320,30566
2021-06-06,9945954,143596,133763,7862,1971,137164,9665194,9959697,144152,134262,7917,1973,136465,9679080,13743,556,499,55,2,-699,13886
2021-06-07,9959697,144152,134262,7917,1973,136465,9679080,9972297,144637,134861,7802,1974,136526,9691134,12600,485,599,-115,1,61,12054
2021-06-08,9972297,144637,134861,7802,1974,136526,9691134,10008584,145091,135412,7704,1975,139260,9724233,36287,454,551,-98,1,2734,33099
2021-06-09,10008583,145090,135412,7703,1975,139260,9724233,10044783,145692,136174,7541,1977,131424,9767667,36200,602,762,-162,2,-7836,43434
2021-06-10,10044783,145692,136174,7541,1977,131424,9767667,10076862,146303,136713,7611,1979,130327,9800232,32079,611,539,70,2,-1097,32565
2021-06-11,10076862,146303,136713,7611,1979,130327,9800232,10111064,146859,137224,7654,1981,133753,9830452,34202,556,511,43,2,3426,30220
2021-06-12,10111064,146857,137224,7652,1981,133753,9830454,10140535,147422,138037,7403,1982,122200,9870913,29471,565,813,-249,1,-11553,40459
2021-06-13,10140535,147422,138037,7403,1982,122200,9870913,10152907,147874,138581,7308,1985,124517,9880516,12372,452,544,-95,3,2317,9603
2021-06-14,10152907,147874,138581,7308,1985,124517,9880516,10165497,148273,139022,7263,1988,123424,9893800,12590,399,441,-45,3,-1093,13284
2021-06-15,10165497,148273,139022,7263,1988,123424,9893800,10196470,148647,139733,6922,1992,123664,9924159,30973,374,711,-341,4,240,30359
2021-06-16,10196469,148646,139733,6921,1992,123664,9924159,10229384,149191,140438,6760,1993,118764,9961429,32915,545,705,-161,1,-4900,37270
2021-06-17,10229384,149191,140438,6760,1993,118764,9961429,10257836,149731,141029,6708,1994,121319,9986786,28452,540,591,-52,1,2555,25357
2021-06-18,10257836,149731,141029,6708,1994,121319,9986786,10294048,150238,141816,6426,1996,125837,10017973,36212,507,787,-282,2,4518,31187
2021-06-19,10294048,150238,141816,6426,1996,125837,10017973,10323154,150720,142385,6338,1997,128721,10043713,29106,482,569,-88,1,2884,25740
2021-06-20,10323154,150720,142385,6338,1997,128721,10043713,10335634,151149,142899,6248,2002,131062,10053423,12480,429,514,-90,5,2341,9710
2021-06-21,10335634,151149,142899,6248,2002,131062,10053423,10346047,151506,143268,6234,2004,128433,10066108,10413,357,369,-14,2,-2629,12685
2021-06-22,10346047,151506,143268,6234,2004,128433,10066108,10380043,151901,143817,6078,2006,127127,10101015,33996,395,549,-156,2,-1306,34907
2021-06-23,10380043,151900,143817,6077,2006,127127,10101016,10409949,152545,144379,6159,2007,129791,10127613,29906,645,562,82,1,2664,26597
2021-06-24,10409949,152545,144379,6159,2007,129791,10127613,10438782,153155,144788,6359,2008,120971,10164656,28833,610,409,200,1,-8820,37043
2021-06-25,10438782,153155,144788,6359,2008,120971,10164656,10466545,153789,145389,6391,2009,122188,10190568,27763,634,601,32,1,1217,25912
2021-06-26,10466545,153789,145389,6391,2009,122188,10190568,10495516,154457,145989,6456,2012,114573,10226486,28971,668,600,65,3,-7615,35918
2021-06-27,10495516,154457,145989,6456,2012,114573,10226486,10508678,155071,146340,6718,2013,116376,10237231,13162,614,351,262,1,1803,10745
